"","Scenario","Location","Vegetation","Year","Decade","Avg"
"4163","SRES A1B","Northwest Interior Forest North","Black Spruce",2031,2030,86045
"4164","SRES A1B","Northwest Interior Forest North","Black Spruce",2032,2030,86808
"4165","SRES A1B","Northwest Interior Forest North","Black Spruce",2033,2030,86099
"4166","SRES A1B","Northwest Interior Forest North","Black Spruce",2034,2030,86731
"4167","SRES A1B","Northwest Interior Forest North","Black Spruce",2035,2030,84881
"4168","SRES A1B","Northwest Interior Forest North","Black Spruce",2036,2030,79193
"4169","SRES A1B","Northwest Interior Forest North","Black Spruce",2037,2030,79302
"4170","SRES A1B","Northwest Interior Forest North","Black Spruce",2038,2030,79570
"4171","SRES A1B","Northwest Interior Forest North","Black Spruce",2039,2030,76984
"4172","SRES A1B","Northwest Interior Forest North","Black Spruce",2040,2040,76094
"4173","SRES A1B","Northwest Interior Forest North","Black Spruce",2041,2040,77145
"4174","SRES A1B","Northwest Interior Forest North","Black Spruce",2042,2040,77946
"4175","SRES A1B","Northwest Interior Forest North","Black Spruce",2043,2040,78755
"4176","SRES A1B","Northwest Interior Forest North","Black Spruce",2044,2040,75651
"4177","SRES A1B","Northwest Interior Forest North","Black Spruce",2045,2040,75135
"4178","SRES A1B","Northwest Interior Forest North","Black Spruce",2046,2040,74534
"4179","SRES A1B","Northwest Interior Forest North","Black Spruce",2047,2040,74334
"4180","SRES A1B","Northwest Interior Forest North","Black Spruce",2048,2040,74019
"4181","SRES A1B","Northwest Interior Forest North","Black Spruce",2049,2040,74761
"4182","SRES A1B","Northwest Interior Forest North","Black Spruce",2050,2050,75534
"4183","SRES A1B","Northwest Interior Forest North","Black Spruce",2051,2050,76113
"4184","SRES A1B","Northwest Interior Forest North","Black Spruce",2052,2050,76444
"4185","SRES A1B","Northwest Interior Forest North","Black Spruce",2053,2050,76233
"4186","SRES A1B","Northwest Interior Forest North","Black Spruce",2054,2050,77289
"4187","SRES A1B","Northwest Interior Forest North","Black Spruce",2055,2050,75868
"4188","SRES A1B","Northwest Interior Forest North","Black Spruce",2056,2050,70756
"4189","SRES A1B","Northwest Interior Forest North","Black Spruce",2057,2050,71346
